Code;Latitude;Longitude;restaurant_count;restaurant_is_capped;school_count;school_is_capped;bank_count;bank_is_capped;hospital_count;hospital_is_capped;total_poi;road_types;road_types_desc;road_score;is_main_road;intersection_count;radius_m;alfamidi_count;other_minimarket_count;supermarket_count;total_retail_capped;is_capped;growth_rate_annual;pop_2020;pop_2026_est;density_2020;density_2026_est;category_2026;Status;Region
2071;44.799.783;979.555.922;20;1;20;1;16;0;11;0;67;unclassified,primary,tertiary,residential,living_street,trunk_link;jalan umum kecil,jalan utama kota,jalan lokal besar,jalan perumahan,jalan kecil / gang,akses jalan besar;10;1;41;2000;0;13;7;10;1;1.90%;49447;55359;3934.87;4405.3;low;1;3
3483;-7.020.724;110.764.869;20;1;20;1;18;0;1;0;59;primary,residential;jalan utama kota,jalan perumahan;7;1;36;1500;0;5;15;10;1;1.70%;12980;14361;1836.23;2031.67;low;1;2
1964;13.861.493.235.065;992.675.701.947.117;20;1;20;1;20;1;12;0;72;tertiary,trunk,residential,unclassified,living_street;jalan lokal besar,jalan besar penghubung antar kota,jalan perumahan,jalan umum kecil,jalan kecil / gang;9;1;20;2000;3;7;10;10;1;1.90%;46445;51998;3696;4137.87;low;1;3
3481;-742.274.575.821.774;111.019.935.158.135;20;1;20;1;20;1;12;0;72;secondary,residential,unclassified,tertiary;jalan penghubung utama,jalan perumahan,jalan umum kecil,jalan lokal besar;9;1;47;1500;0;9;11;10;1;1.70%;31074;34382;4396.12;4864.02;low;1;2
3104;-5.632.663;132.745.277;20;1;20;1;14;0;3;0;57;residential,tertiary,trunk;jalan perumahan,jalan lokal besar,jalan besar penghubung antar kota;8;1;35;2000;2;5;13;10;1;1.90%;19456;21782;1548.28;1733.38;low;1;6
3531;-387.639.571;122.104.328;20;1;19;0;5;0;1;0;45;trunk,residential,unclassified,trunk_link;jalan besar penghubung antar kota,jalan perumahan,jalan umum kecil,akses jalan besar;5;1;11;2000;1;2;6;9;0;1.90%;3985;4461;317.11;355.02;low;1;5
3111;-3.085.694;126.437.333;0;0;11;0;0;0;0;0;11;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;23;2000;1;0;0;1;0;1.90%;2253;2522;179.27;200.71;low;1;6
3038;-3.682.027;128.210.941;20;1;20;1;5;0;4;0;49;residential,tertiary;jalan perumahan,jalan lokal besar;5;0;72;2000;2;6;12;10;1;1.90%;59924;67088;4768.59;5338.69;low;1;6
3049;-3.681.608;12.820.612;20;1;20;1;5;0;8;0;53;residential,tertiary;jalan perumahan,jalan lokal besar;5;0;21;2000;3;9;8;10;1;1.90%;75459;84481;6004.85;6722.76;low;1;6
1987;142.961.779.346.043;124.977.471.375.432;20;1;20;1;9;0;6;0;55;trunk,residential;jalan besar penghubung antar kota,jalan perumahan;5;1;30;2000;1;10;9;10;1;1.90%;10609;11878;844.26;945.2;low;0;5
2933;-7.554.072;1.126.227.495;20;1;20;1;17;0;3;0;60;trunk,residential,living_street;jalan besar penghubung antar kota,jalan perumahan,jalan kecil / gang;6;1;25;1500;0;8;12;10;1;1.70%;24170;26742;3419.3;3783.23;low;1;2
1812;-42.265.029;1.201.476.723;20;1;20;1;3;0;0;0;43;trunk,residential,primary;jalan besar penghubung antar kota,jalan perumahan,jalan utama kota;10;1;36;2000;0;4;1;5;0;1.90%;4195;4697;333.87;373.78;low;1;5
2186;215.592.886.527.764;117.502.159.379.133;20;1;20;1;20;1;8;0;68;residential,trunk,tertiary,secondary,secondary_link;jalan perumahan,jalan besar penghubung antar kota,jalan lokal besar,jalan penghubung utama,akses jalan penghubung;10;1;61;2000;7;8;5;10;1;1.90%;6814;7629;542.27;607.1;low;1;4
2648;0.8219072;1.273.850.286;20;1;20;1;5;0;8;0;53;trunk,tertiary,residential,living_street;jalan besar penghubung antar kota,jalan lokal besar,jalan perumahan,jalan kecil / gang;9;1;32;2000;0;8;12;10;1;0.00%;0;0;0;0;no_population;0;6
3748;11.272.311;1.274.781.151;9;0;14;0;0;0;1;0;24;secondary,tertiary,residential,primary;jalan penghubung utama,jalan lokal besar,jalan perumahan,jalan utama kota;10;1;15;2000;1;4;1;6;0;1.90%;3889;4354;309.51;346.52;low;1;6
2246;3.344.142;117.574.096;20;1;20;1;0;0;3;0;43;primary,residential,trunk;jalan utama kota,jalan perumahan,jalan besar penghubung antar kota;10;1;41;2000;1;7;5;10;1;1.90%;29516;33044;2348.78;2629.59;low;1;4
2640;-6.239.336;106.771.687;20;1;20;1;20;1;20;1;80;tertiary,primary,residential,living_street,primary_link;jalan lokal besar,jalan utama kota,jalan perumahan,jalan kecil / gang,akses jalan utama;10;1;35;1000;2;15;3;10;1;0.90%;50089;52855;15943.78;16824.35;high;1;1
3539;-406.373;12.161.074;20;1;20;1;15;0;7;0;62;residential,tertiary,unclassified;jalan perumahan,jalan lokal besar,jalan umum kecil;5;0;22;2000;0;10;10;10;1;1.90%;29703;33254;2363.67;2646.25;low;1;5
2578;-622.592.867.231.746;106.657.031.783.981;20;1;20;1;20;1;12;0;72;secondary_link,secondary,tertiary;akses jalan penghubung,jalan penghubung utama,jalan lokal besar;7;1;9;1000;0;13;7;10;1;1.30%;40920;44217;13025.28;14074.85;high;1;1
1695;36.159;986.739;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;2000;1;8;11;10;1;0.00%;0;0;0;0;no_population;0;3
2609;-628.342.320.439.799;106.799.360.272.324;20;1;20;1;20;1;20;1;80;residential,tertiary,living_street;jalan perumahan,jalan lokal besar,jalan kecil / gang;6;0;18;1000;2;9;9;10;1;0.90%;47346;49961;15070.74;15903.09;high;1;1
3655;115.233.563.744.645;124.838.364.160.514;20;1;20;1;11;0;7;0;58;trunk,residential,tertiary;jalan besar penghubung antar kota,jalan perumahan,jalan lokal besar;8;1;28;2000;1;9;10;10;1;1.90%;15600;17464;1241.37;1389.78;low;1;5
1843;364.261;9.867.781;20;1;20;1;20;1;19;0;79;residential,living_street,secondary;jalan perumahan,jalan kecil / gang,jalan penghubung utama;7;1;61;2000;0;16;4;10;1;1.50%;134387;146945;10694.21;11693.51;medium;1;3
1018;-630.977.660.504.261;107.292.712.187.652;20;1;20;1;20;1;20;1;80;secondary,residential,living_street;jalan penghubung utama,jalan perumahan,jalan kecil / gang;7;1;40;1500;3;10;7;10;1;1.70%;48827;54024;6907.62;7642.83;low;1;2
3044;-3.695.896;128.177.695;20;1;20;1;20;1;20;1;80;primary,trunk,tertiary,residential,unclassified;jalan utama kota,jalan besar penghubung antar kota,jalan lokal besar,jalan perumahan,jalan umum kecil;10;1;30;2000;3;6;11;10;1;1.50%;168500;184245;13408.76;14661.72;high;1;6
2239;-0.4876879;1.171.531.295;20;1;20;1;20;1;20;1;80;residential,tertiary,living_street,tertiary_link;jalan perumahan,jalan lokal besar,jalan kecil / gang,akses jalan lokal;6;0;30;2000;2;8;10;10;1;1.50%;131948;144278;10500.12;11481.28;medium;1;4
2471;-3.724.631;128.144.896;11;0;7;0;1;0;1;0;20;residential,secondary;jalan perumahan,jalan penghubung utama;6;1;4;2000;0;1;3;4;0;1.90%;23229;26006;1848.5;2069.5;low;0;6
1901;357.628;9.869.031;20;1;20;1;20;1;20;1;80;residential,tertiary,living_street,primary;jalan perumahan,jalan lokal besar,jalan kecil / gang,jalan utama kota;10;1;55;2000;1;9;10;10;1;1.50%;157554;172276;12537.71;13709.27;medium;1;3
3613;-2.255.506;121.758.995;17;0;8;0;0;0;0;0;25;trunk,unclassified,residential;jalan besar penghubung antar kota,jalan umum kecil,jalan perumahan;5;1;7;2000;2;6;0;8;0;1.90%;815;912;64.84;72.59;low;1;5
2741;-2.892.335;104.712.268;20;1;20;1;9;0;1;0;50;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;51;2000;0;13;7;10;1;1.90%;16505;18478;1313.44;1470.47;low;1;3
2350;-388.982.550.729.142;122.040.046.894.075;11;0;10;0;1;0;0;0;22;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;5;2000;0;3;0;3;0;1.90%;2471;2766;196.61;220.11;low;0;5
1656;-399.728;1.198.123.752;20;1;20;1;3;0;2;0;45;residential,unclassified,primary,living_street;jalan perumahan,jalan umum kecil,jalan utama kota,jalan kecil / gang;8;1;83;2000;0;8;6;10;1;1.90%;6548;7331;521.07;583.37;low;1;5
2032;3.615.101;987.999.199;20;1;20;1;10;0;4;0;54;trunk,secondary,residential,primary,tertiary,living_street,unclassified;jalan besar penghubung antar kota,jalan penghubung utama,jalan perumahan,jalan utama kota,jalan lokal besar,jalan kecil / gang,jalan umum kecil;10;1;55;2000;0;12;8;10;1;1.90%;34491;38614;2744.69;3072.83;low;1;3
2663;-628.357.238.366.517;106.819.075.928.836;20;1;20;1;20;1;20;1;80;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;36;1000;0;11;9;10;1;0.90%;49606;52346;15790.11;16662.19;high;1;1
3221;-0.46436194907988;120.064.456.346;20;1;19;0;2;0;0;0;41;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;13;2000;1;1;0;2;0;1.90%;6074;6801;483.39;541.18;low;1;5
1705;-2.565.188;140.709.883;20;1;20;1;20;1;4;0;64;secondary,unclassified,residential;jalan penghubung utama,jalan umum kecil,jalan perumahan;6;1;28;2000;5;8;7;10;1;1.90%;63108;70652;5021.94;5622.34;low;1;7
1833;354.098;9.871.722;20;1;20;1;20;1;20;1;80;primary,living_street,residential;jalan utama kota,jalan kecil / gang,jalan perumahan;8;1;38;2000;2;9;9;10;1;1.90%;71560;80115;5694.57;6375.38;low;1;3
1490;-40.204.194.486.645;11.962.379.559.022;20;1;20;1;20;1;20;1;80;tertiary,unclassified,secondary,residential,trunk,living_street;jalan lokal besar,jalan umum kecil,jalan penghubung utama,jalan perumahan,jalan besar penghubung antar kota,jalan kecil / gang;10;1;36;2000;1;9;10;10;1;1.90%;74747;83683;5948.19;6659.32;low;1;5
1529;-342.992;119.342.429.999.999;20;1;20;1;14;0;6;0;60;residential,trunk,tertiary,unclassified;jalan perumahan,jalan besar penghubung antar kota,jalan lokal besar,jalan umum kecil;8;1;31;2000;0;6;9;10;1;1.90%;22456;25141;1787.02;2000.67;low;1;5
1646;-26.333.966;1.211.004.147;20;1;20;1;5;0;1;0;46;secondary,unclassified,residential;jalan penghubung utama,jalan umum kecil,jalan perumahan;6;1;13;2000;0;8;5;10;1;1.90%;5458;6111;434.37;486.3;low;1;5
1526;-370.051.900.802.275;120.415.730.946.865;20;1;20;1;9;0;2;0;51;residential,trunk,unclassified;jalan perumahan,jalan besar penghubung antar kota,jalan umum kecil;5;1;24;2000;0;6;12;10;1;1.90%;4233;4739;336.85;377.13;low;1;5
1539;-412.480.018.537.562;120.031.584.898.148;20;1;20;1;20;1;5;0;65;unclassified,residential,living_street;jalan umum kecil,jalan perumahan,jalan kecil / gang;3;0;42;2000;2;7;11;10;1;1.90%;18206;20383;1448.81;1622.02;low;1;5
1499;-413.247.344.791.837;120.028.275.736.284;20;1;20;1;20;1;5;0;65;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;36;2000;3;5;12;10;1;1.90%;17620;19727;1402.18;1569.82;low;1;5
1505;-555.904;12.019.236;20;1;20;1;20;1;6;0;66;trunk,residential,unclassified,trunk_link;jalan besar penghubung antar kota,jalan perumahan,jalan umum kecil,akses jalan besar;5;1;55;2000;3;9;8;10;1;1.90%;51109;57220;4067.16;969081;low;1;5
1710;-33.942.147.950.395;119.797.898.699.972;20;1;20;1;2;0;3;0;45;residential,trunk,unclassified;jalan perumahan,jalan besar penghubung antar kota,jalan umum kecil;5;1;21;2000;0;4;4;8;0;1.90%;2401;2688;191.05;213.89;low;1;5
2716;-29.450.081;1.047.518.907;20;1;20;1;20;1;20;1;80;tertiary,residential,unclassified,living_street;jalan lokal besar,jalan perumahan,jalan umum kecil,jalan kecil / gang;6;0;82;2000;0;12;8;10;1;1.90%;37116;41553;2953.59;3306.7;low;1;3
1965;25.679.842.360.232;996.488.878.163.841;20;1;20;1;18;0;6;0;64;secondary,residential;jalan penghubung utama,jalan perumahan;6;1;42;2000;1;5;5;10;1;1.90%;10616;11886;844.83;945.83;low;1;3
3366;-697.745.779.989.953;110.390.704.645.674;20;1;20;1;20;1;20;1;80;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;93;1500;0;14;6;10;1;1.70%;68903;76237;9747.85;10785.35;medium;1;2
2130;-697.903.901.036.463;110.391.089.275.463;20;1;20;1;20;1;20;1;80;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;72;1500;0;15;5;10;1;1.70%;68903;76237;9747.85;10785.35;medium;0;2
2885;-761.917.078.453.543;111.897.842.749.244;20;1;20;1;20;1;7;0;67;secondary,living_street,residential;jalan penghubung utama,jalan kecil / gang,jalan perumahan;7;1;27;1500;0;11;9;10;1;1.70%;15260;16885;2158.9;2388.68;low;1;2
3143;-0.9132371;1.198.857.858;20;1;20;1;20;1;20;1;80;residential,unclassified,living_street;jalan perumahan,jalan umum kecil,jalan kecil / gang;3;0;34;2000;4;6;10;10;1;1.90%;60368;67585;4803.92;5378.25;low;1;5
3569;-54.605;12.262.362;20;1;20;1;16;0;9;0;65;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;27;2000;4;8;8;10;1;1.90%;37984;42525;3022.66;542082;low;1;5
3587;-5.400.649;122.667.046;7;0;12;0;0;0;0;0;19;trunk,residential,secondary;jalan besar penghubung antar kota,jalan perumahan,jalan penghubung utama;9;1;16;2000;1;0;1;2;0;1.90%;5053;5657;402.1;450.18;low;1;5
3041;-3.695.782;128.181.199;20;1;20;1;20;1;18;0;78;tertiary,primary,secondary,unclassified,residential,trunk;jalan lokal besar,jalan utama kota,jalan penghubung utama,jalan umum kecil,jalan perumahan,jalan besar penghubung antar kota;10;1;38;2000;3;6;11;10;1;1.50%;149412;163373;11889.81;13000.84;medium;1;6
2677;-612.975;10.683.945;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;1000;0;12;8;10;1;1.30%;43679;47199;13903.42;15023.75;high;0;1
2728;-6.437.299;10.674.823;20;1;20;1;7;0;13;0;60;secondary,residential;jalan penghubung utama,jalan perumahan;6;1;31;1000;1;12;6;10;1;1.70%;27166;30057;8647.18;9567.54;low;1;1
2509;-631.280.895.490.985;106.728.104.678.278;20;1;20;1;20;1;20;1;80;residential,secondary,tertiary,living_street,unclassified;jalan perumahan,jalan penghubung utama,jalan lokal besar,jalan kecil / gang,jalan umum kecil;10;1;33;1000;1;9;10;10;1;1.30%;31447;33982;10010.05;10816.65;medium;1;1
3792;0.557648;123.058.789;20;1;20;1;20;1;19;0;79;residential,unclassified,living_street;jalan perumahan,jalan umum kecil,jalan kecil / gang;3;0;30;2000;1;11;8;10;1;1.90%;99152;111006;7890.3;8833.61;low;1;5
1062;-6.813.364.520.307;107.148.678.220.122;20;1;20;1;20;1;20;1;80;residential,trunk,secondary,living_street;jalan perumahan,jalan besar penghubung antar kota,jalan penghubung utama,jalan kecil / gang;10;1;26;1500;2;7;11;10;1;1.70%;35080;38813;4962.74;5490.95;low;1;2
2863;-728.936.395.431.905;112.777.369.852.424;20;1;20;1;20;1;20;1;80;tertiary,living_street,residential,tertiary_link;jalan lokal besar,jalan kecil / gang,jalan perumahan,akses jalan lokal;6;0;21;1500;0;8;12;10;1;1.70%;67496;74680;9548.73;10565.05;medium;1;2
3644;145.756.455.514.157;124.840.464.217.458;20;1;20;1;20;1;20;1;80;tertiary,residential,unclassified,trunk;jalan lokal besar,jalan perumahan,jalan umum kecil,jalan besar penghubung antar kota;8;1;50;2000;1;7;12;10;1;1.90%;76746;85922;6107.29;6837.44;low;1;5
2340;-631.387;10.674.513;20;1;20;1;20;1;20;1;80;secondary,residential,living_street,secondary_link,trunk;jalan penghubung utama,jalan perumahan,jalan kecil / gang,secondary_link,jalan besar penghubung antar kota;10;1;30;1000;2;11;7;10;1;1.30%;35157;37990;11190.83;12092.58;medium;1;1
2545;-631.680.523.634.691;10.673.963.488.545;20;1;20;1;20;1;20;1;80;residential,secondary,living_street;jalan perumahan,jalan penghubung utama,jalan kecil / gang;7;1;46;1000;1;13;6;10;1;1.30%;32865;35513;10461.31;11304.28;medium;1;1
2406;-617.799;10.661.247;20;1;20;1;20;1;20;1;80;tertiary,living_street,residential;jalan lokal besar,jalan kecil / gang,jalan perumahan;6;0;67;1000;1;8;11;10;1;1.30%;38387;41480;12218.96;13203.56;medium;1;1
